data.name,folds,seed,algo,bad.groups,RSS,RMSE,mean.sd,zeros
Laribi2024,9,2,random,0,447194.888888889,157.620304827224,156.108503990681,0
Laribi2024,9,2,RSS,0,2.88888888888889,0.400616808384888,0.416666666666667,0
Laribi2024,9,2,Wasikowski,0,6.88888888888889,0.618640484758891,0.640867979985286,0
Laribi2024,9,2,origami,0,,,,
Laribi2024,9,3,random,0,218462.888888889,110.16726900715,116.849747038821,0
Laribi2024,9,3,RSS,0,2.88888888888889,0.400616808384888,0.416666666666667,0
Laribi2024,9,3,Wasikowski,0,6.88888888888889,0.618640484758891,0.640867979985286,0
Laribi2024,9,3,origami,0,,,,
Laribi2024,9,4,random,0,291984.888888889,127.363192155541,135.086531071066,0
Laribi2024,9,4,RSS,0,2.88888888888889,0.400616808384888,0.416666666666667,0
Laribi2024,9,4,Wasikowski,0,6.88888888888889,0.618640484758891,0.640867979985286,0
Laribi2024,9,4,origami,0,,,,
Laribi2024,9,5,random,0,612872.888888889,184.52233964255,188.264266069921,0
Laribi2024,9,5,RSS,0,2.88888888888889,0.400616808384888,0.416666666666667,0
Laribi2024,9,5,Wasikowski,0,6.88888888888889,0.618640484758891,0.640867979985286,0
Laribi2024,9,5,origami,0,,,,
Laribi2024,9,6,random,0,293838.888888889,127.766907750205,131.532773551249,0
Laribi2024,9,6,RSS,0,2.88888888888889,0.400616808384888,0.416666666666667,0
Laribi2024,9,6,Wasikowski,0,6.88888888888889,0.618640484758891,0.640867979985286,0
Laribi2024,9,6,origami,0,,,,
Laribi2024,9,7,random,0,348384.888888889,139.121227889143,147.33590542544,0
Laribi2024,9,7,RSS,0,2.88888888888889,0.400616808384888,0.416666666666667,0
Laribi2024,9,7,Wasikowski,0,6.88888888888889,0.618640484758891,0.640867979985286,0
Laribi2024,9,7,origami,0,,,,
Laribi2024,9,8,random,0,430068.888888889,154.572688562316,155.097279583614,0
Laribi2024,9,8,RSS,0,2.88888888888889,0.400616808384888,0.416666666666667,0
Laribi2024,9,8,Wasikowski,0,6.88888888888889,0.618640484758891,0.640867979985286,0
Laribi2024,9,8,origami,0,,,,
Laribi2024,9,9,random,0,260184.888888889,120.227767380846,126.875261886053,0
Laribi2024,9,9,RSS,0,2.88888888888889,0.400616808384888,0.416666666666667,0
Laribi2024,9,9,Wasikowski,0,6.88888888888889,0.618640484758891,0.640867979985286,0
Laribi2024,9,9,origami,0,,,,
Laribi2024,9,10,random,0,158546.888888889,93.8518006957094,99.2209933302698,0
Laribi2024,9,10,RSS,0,2.88888888888889,0.400616808384888,0.416666666666667,0
Laribi2024,9,10,Wasikowski,0,6.88888888888889,0.618640484758891,0.640867979985286,0
Laribi2024,9,10,origami,0,,,,
Laribi2024,10,1,random,0,252834.5,112.435425911943,111.703689300489,0
Laribi2024,10,1,RSS,0,2.5,0.353553390593274,0.263523138347365,0
Laribi2024,10,1,Wasikowski,0,2.5,0.353553390593274,0.263523138347365,0
Laribi2024,10,1,origami,0,,,,
Laribi2024,10,2,random,0,388176.5,139.315559073637,132.389095240206,0
Laribi2024,10,2,RSS,0,2.5,0.353553390593274,0.263523138347365,0
Laribi2024,10,2,Wasikowski,0,2.5,0.353553390593274,0.263523138347365,0
Laribi2024,10,2,origami,0,,,,
Laribi2024,10,3,random,0,272150.5,116.651296606596,116.01723134484,0
Laribi2024,10,3,RSS,0,2.5,0.353553390593274,0.263523138347365,0
Laribi2024,10,3,Wasikowski,0,2.5,0.353553390593274,0.263523138347365,0
Laribi2024,10,3,origami,0,,,,
Laribi2024,10,4,random,0,465264.5,152.522867138013,143.095403763588,0
Laribi2024,10,4,RSS,0,2.5,0.353553390593274,0.263523138347365,0
Laribi2024,10,4,Wasikowski,0,2.5,0.353553390593274,0.263523138347365,0
Laribi2024,10,4,origami,0,,,,
Laribi2024,10,5,random,0,339318.5,130.253310898418,130.992395039574,0
Laribi2024,10,5,RSS,0,2.5,0.353553390593274,0.263523138347365,0
Laribi2024,10,5,Wasikowski,0,2.5,0.353553390593274,0.263523138347365,0
Laribi2024,10,5,origami,0,,,,
Laribi2024,10,6,random,0,355456.5,133.314759122912,132.374703056513,0
Laribi2024,10,6,RSS,0,2.5,0.353553390593274,0.263523138347365,0
Laribi2024,10,6,Wasikowski,0,2.5,0.353553390593274,0.263523138347365,0
Laribi2024,10,6,origami,0,,,,
Laribi2024,10,7,random,0,388894.5,139.44434373613,146.733610695292,0
Laribi2024,10,7,RSS,0,2.5,0.353553390593274,0.263523138347365,0
Laribi2024,10,7,Wasikowski,0,2.5,0.353553390593274,0.263523138347365,0
Laribi2024,10,7,origami,0,,,,
Laribi2024,10,8,random,0,537548.5,163.943359121375,167.293075382004,0
Laribi2024,10,8,RSS,0,2.5,0.353553390593274,0.263523138347365,0
Laribi2024,10,8,Wasikowski,0,2.5,0.353553390593274,0.263523138347365,0
Laribi2024,10,8,origami,0,,,,
Laribi2024,10,9,random,0,456942.5,151.15265462439,154.389311881042,0
Laribi2024,10,9,RSS,0,2.5,0.353553390593274,0.263523138347365,0
Laribi2024,10,9,Wasikowski,0,2.5,0.353553390593274,0.263523138347365,0
Laribi2024,10,9,origami,0,,,,
Laribi2024,10,10,random,0,416218.5,144.259921669187,145.588517511587,0
Laribi2024,10,10,RSS,0,2.5,0.353553390593274,0.263523138347365,0
Laribi2024,10,10,Wasikowski,0,2.5,0.353553390593274,0.263523138347365,0
Laribi2024,10,10,origami,0,,,,
PetAdoption,2,1,random,0,18009.5,42.4376012517202,55.295750288788,0
PetAdoption,2,1,RSS,0,1.5,0.387298334620742,0.424264068711929,0
PetAdoption,2,1,Wasikowski,0,1.5,0.387298334620742,0.424264068711929,0
PetAdoption,2,1,origami,0,,,,
PetAdoption,2,2,random,0,515557.5,227.058913060025,264.599357520006,0
PetAdoption,2,2,RSS,0,1.5,0.387298334620742,0.424264068711929,0
PetAdoption,2,2,Wasikowski,0,3.5,0.591607978309962,0.707106781186548,0
PetAdoption,2,2,origami,0,,,,
PetAdoption,2,3,random,0,67235.5,81.9972560516509,77.0746391493337,0
PetAdoption,2,3,RSS,0,1.5,0.387298334620742,0.424264068711929,0
PetAdoption,2,3,Wasikowski,0,3.5,0.591607978309962,0.707106781186548,0
PetAdoption,2,3,origami,0,,,,
PetAdoption,2,4,random,0,7127.5,26.697378148425,34.0825468531916,0
PetAdoption,2,4,RSS,0,1.5,0.387298334620742,0.424264068711929,0
PetAdoption,2,4,Wasikowski,0,1.5,0.387298334620742,0.424264068711929,0
PetAdoption,2,4,origami,0,,,,
